address,ticketNumber,longitude,latitude
"400 Hawks Ave., Vancouver, BC, Canada",118,-123.0871327,49.2811332
"2700 Cambridge St., Vancouver, BC, Canada",4,-123.0493257,49.2867235
"1500 Adanac St., Vancouver, BC, Canada",41,-123.0741872,49.2776119
"2200 5th Ave W., Vancouver, BC, Canada",121,-123.1554293,49.2672029
"2600 Kitchener St., Vancouver, BC, Canada",6,-123.0520548,49.2722927
"1900 35th Ave W., Vancouver, BC, Canada",6,-123.1566729,49.24003339999999
"2300 Semlin Dr., Vancouver, BC, Canada",12,-123.0639232,49.26446379999999
"3500 Gladstone St., Vancouver, BC, Canada",4,-123.0592151,49.2519595
"300 17th Ave E., Vancouver, BC, Canada",15,-123.0984567,49.25566569999999
"700 13th Ave W., Vancouver, BC, Canada",52,-123.1197729,49.2593616
"400 Pacific Blvd., Vancouver, BC, Canada",16,-123.108312,49.27701829999999
"3600 25th Ave E., Vancouver, BC, Canada",6,-123.0262491,49.2479026
"1000 Island Ave., Vancouver, BC, Canada",3,-123.0710418,49.2097309
"5800 Victoria Dr., Vancouver, BC, Canada",66,-123.0652824,49.2311942
"1500 4th Ave W., Vancouver, BC, Canada",5,-123.1387676,49.2679598
"2800 37th Ave W., Vancouver, BC, Canada",4,-123.1680844,49.2385149
"5300 Dunbar St., Vancouver, BC, Canada",1,-123.1850068,49.238699
"200 18th Ave W., Vancouver, BC, Canada",6,-123.1097315,49.2547411
"400 Princess Ave., Vancouver, BC, Canada",73,-123.0914999,49.2811999
"400 Abbott St., Vancouver, BC, Canada",405,-123.1072,49.282003
"2100 Alberta St., Vancouver, BC, Canada",67,-123.1105711,49.2665421
"100 43rd Ave W., Vancouver, BC, Canada",1,-123.1164515,49.2316665
"500 19th Ave W., Vancouver, BC, Canada",107,-123.0938778,49.2537847
"3200 Fleming St., Vancouver, BC, Canada",11,-123.0705926,49.25596669999999
"300 2nd Ave W., Vancouver, BC, Canada",88,-123.1114431,49.2683171
"5200 Dunbar St., Vancouver, BC, Canada",2,-123.185292,49.23950199999999
"1100 29th Ave W., Vancouver, BC, Canada",3,-123.1392213,49.24545699999999
"5700 Lancaster St., Vancouver, BC, Canada",17,-123.0417121,49.2329251
"4700 Commercial St., Vancouver, BC, Canada",7,-123.0680154,49.2429407
"1600 Davie St., Vancouver, BC, Canada",438,-123.1386483,49.2852343
"2400 Dunbar St., Vancouver, BC, Canada",64,-123.1837423,49.26476659999999
"6800 Main St., Vancouver, BC, Canada",7,-123.101172,49.22294369999999
"1000 McLean Dr., Vancouver, BC, Canada",26,-123.0744292,49.27550069999999
"2800 Hemlock St., Vancouver, BC, Canada",72,-123.1361991,49.2608282
"6300 Maple St., Vancouver, BC, Canada",6,-123.1508776,49.253252
"2000 Harrison Dr., Vancouver, BC, Canada",4,-123.0660779,49.2106356
"2100 Cornwall Ave., Vancouver, BC, Canada",267,-123.1526112,49.272547
"7800 Vernon Dr., Vancouver, BC, Canada",1,-123.078658,49.27497
"4200 Miller St., Vancouver, BC, Canada",6,-123.0683039,49.24742269999999
"5400 Elizabeth St., Vancouver, BC, Canada",2,-123.1116105,49.2369768
"3400 Sophia St., Vancouver, BC, Canada",10,-123.0984925,49.2547637
"5400 Cecil St., Vancouver, BC, Canada",332,-123.0357401,49.2354182
"700 Davie St., Vancouver, BC, Canada",88,-123.1264398,49.2771689
"3000 St. Catherines St., Vancouver, BC, Canada",8,-123.0850893,49.2577371
"3500 Yukon St., Vancouver, BC, Canada",37,-123.1126195,49.2539083
"2100 40th Ave W., Vancouver, BC, Canada",504,-123.1559041,49.235437
"200 Salsbury Dr., Vancouver, BC, Canada",17,-123.0682632,49.2815979
"0 Taylor St., Vancouver, BC, Canada",1,-123.1058788,49.2801246
"1600 Haro St., Vancouver, BC, Canada",72,-123.1334559,49.2887592
"8300 Beatrice St., Vancouver, BC, Canada",13,-123.0675269,49.2094108
"2800 Pandora St., Vancouver, BC, Canada",65,-123.0466879,49.28297509999999
"4900 Slocan St., Vancouver, BC, Canada",20,-123.0536535,49.2403977
"2500 Windsor St., Vancouver, BC, Canada",23,-123.0831597,49.26128629999999
"1500 Haro St., Vancouver, BC, Canada",85,-123.1327618,49.2880292
"2000 33rd Ave W., Vancouver, BC, Canada",14,-123.1517798,49.2418839
"4200 Willow St., Vancouver, BC, Canada",126,-123.1223798,49.2473925
"900 19th Ave E., Vancouver, BC, Canada",39,-123.0854018,49.25351269999999
"3400 Lougheed Hwy., Vancouver, BC, Canada",22,-123.0305437,49.2617838
"500 Cordova St. E., Vancouver, BC, Canada",77,-123.093273,49.2820061
"100 14th Ave E., Vancouver, BC, Canada",138,-123.1073108,49.2583238
"2400 18th Ave E., Vancouver, BC, Canada",1,-123.0582425,49.2533514
"2100 Qualicum Dr., Vancouver, BC, Canada",10,-123.0641651,49.2124075
"1200 Cotton Dr., Vancouver, BC, Canada",17,-123.0714521,49.2739201
"1200 Haro St., Vancouver, BC, Canada",144,-123.128095,49.28534459999999
"2600 Alma St., Vancouver, BC, Canada",28,-123.1853695,49.2637236
"2600 Alder St., Vancouver, BC, Canada",38,-123.1313949,49.2624099
"100 63rd Ave E., Vancouver, BC, Canada",12,-123.1043604,49.21313259999999
"7600 Inverness St., Vancouver, BC, Canada",2,-123.0799127,49.2155882
"1600 Larch St., Vancouver, BC, Canada",15,-123.162124,49.2717093
"4000 Prince Edward St., Vancouver, BC, Canada",2,-123.0967505,49.2493721
"2800 Laurel St., Vancouver, BC, Canada",99,-123.1253331,49.2624258
"3900 Cambie St., Vancouver, BC, Canada",6,-123.1149701,49.2503508
"1900 7th Ave E., Vancouver, BC, Canada",33,-123.06578,49.2639156
"3100 Glen Dr., Vancouver, BC, Canada",4,-123.0814395,49.256583
"800 Cambie St., Vancouver, BC, Canada",675,-123.1175264,49.2111051
"7000 St. George St., Vancouver, BC, Canada",4,-123.0948351,49.21959469999999
"1800 Trutch St., Vancouver, BC, Canada",5,-123.1756702,49.270255
"2000 48th Ave W., Vancouver, BC, Canada",9,-123.1165968,49.2270244
"1500 King Edward Ave. W., Vancouver, BC, Canada",2,-123.1402856,49.2491344
"300 29th Ave E., Vancouver, BC, Canada",5,-123.0405753,49.2445379
"4800 Dumfries St., Vancouver, BC, Canada",10,-123.0736072,49.24151819999999
"1900 Balsam St., Vancouver, BC, Canada",174,-123.1598686,49.26914300000001
"1300 8th Ave W., Vancouver, BC, Canada",223,-123.1338196,49.26425529999999
"5100 Victoria Dr., Vancouver, BC, Canada",31,-123.0651467,49.2380963
"2600 22nd Ave E., Vancouver, BC, Canada",15,-123.0521148,49.250402
"2500 Burrard St., Vancouver, BC, Canada",11,-123.1457383,49.2640854
"700 6th Ave E., Vancouver, BC, Canada",13,-123.0887735,49.2650167
"5900 Toderick St., Vancouver, BC, Canada",7,-123.0288799,49.2302381
"1900 34th Ave E., Vancouver, BC, Canada",30,-123.0670238,49.2390486
"2600 Kingsway, Vancouver, BC, Canada",89,-123.0519287,49.238948
"1900 33rd Ave E., Vancouver, BC, Canada",4,-123.0669436,49.23988749999999
"7200 Ontario St., Vancouver, BC, Canada",7,-123.1058133,49.21934539999999
"400 2nd Ave W., Vancouver, BC, Canada",108,-123.1130225,49.2674827
"2000 Cypress St, Vancouver, BC, Canada",21,-123.147973,49.268068
"1500 Maple St., Vancouver, BC, Canada",23,-123.1502167,49.2722193
"1100 Howe St., Vancouver, BC, Canada",489,-123.1256759,49.2787993
"6000 Victoria Dr., Vancouver, BC, Canada",13,-123.0656111,49.2294567
"3700 Inverness St., Vancouver, BC, Canada",16,-123.0798809,49.2520311
"500 25th Ave W., Vancouver, BC, Canada",6,-123.1824053,49.3346083
"100 Columbia St., Vancouver, BC, Canada",153,-123.1017916,49.2835083
"500 Carrall St., Vancouver, BC, Canada",52,-123.1041761,49.2807168
"1000 Expo Boulevard, Vancouver, BC, Canada",109,-123.1159185,49.2749184
"7100 Main St., Vancouver, BC, Canada",1,-123.101491,49.2200988
"3400 4th Ave E., Vancouver, BC, Canada",1,-123.1794023,49.2680991
"4300 Locarno Cr., Vancouver, BC, Canada",4,-123.2026585,49.2689313
"0 43rd Ave W., Vancouver, BC, Canada",4,-123.1164515,49.2316665
"600 51st Ave E., Vancouver, BC, Canada",18,-123.092525,49.2233716
"3400 Euclid Ave., Vancouver, BC, Canada",30,-123.0336615,49.2364648
"3100 MacKenzie St., Vancouver, BC, Canada",1,-123.1703409,49.2587438
"900 12th Ave W., Vancouver, BC, Canada",22,-123.1249913,49.2603089
"1100 Nootka St., Vancouver, BC, Canada",3,-123.0410904,49.2747253
"1300 Continental St., Vancouver, BC, Canada",47,-123.1287433,49.2761639
"700 33rd Ave E., Vancouver, BC, Canada",34,-123.0889789,49.2401057
"1400 Carolina St., Vancouver, BC, Canada",10,-123.0909787,49.26573699999999
"1800 Macdonald St., Vancouver, BC, Canada",25,-123.1679872,49.2699654
"2900 4th Ave W., Vancouver, BC, Canada",52,-123.1701154,49.2683708
"3700 Hudson St., Vancouver, BC, Canada",2,-123.1342341,49.2527895
"4500 12th Ave W., Vancouver, BC, Canada",13,-123.2092072,49.261999
"7700 Argyle St., Vancouver, BC, Canada",1,-123.0720081,49.2145859
"1900 Creelman Ave., Vancouver, BC, Canada",121,-123.1480907,49.2743124
"3600 Fraser St., Vancouver, BC, Canada",6,-123.0896639,49.2529069
"7800 Columbia St., Vancouver, BC, Canada",10,-123.1127028,49.2142805
"6900 Quebec St., Vancouver, BC, Canada",7,-123.1039304,49.2219986
"2400 Penticton St., Vancouver, BC, Canada",5,-123.0521666,49.2629792
"3300 6th Ave W., Vancouver, BC, Canada",6,-123.1779349,49.2665599
"3200 Prince Edward St., Vancouver, BC, Canada",13,-123.0963534,49.256659
"400 Seymour St., Vancouver, BC, Canada",305,-123.1134311,49.2841102
"600 23rd Ave W., Vancouver, BC, Canada",4,-123.1181542,49.2504554
"8000 Granville St., Vancouver, BC, Canada",57,-123.1401304,49.2130193
"3700 Pt. Grey Rd., Vancouver, BC, Canada",77,-123.1854463,49.2721915
"2000 10th Ave W., Vancouver, BC, Canada",110,-123.1504668,49.2623562
"1300 McLean Dr., Vancouver, BC, Canada",11,-123.0743345,49.272726
"400 Powell St., Vancouver, BC, Canada",176,-123.094347,49.28264
"3000 17th Ave E., Vancouver, BC, Canada",8,-123.0413961,49.25455789999999
"1600 Franklin St., Vancouver, BC, Canada",98,-123.0723202,49.2820197
"100 7th Ave E., Vancouver, BC, Canada",25,-123.1027524,49.2645654
"2400 Hemlock St., Vancouver, BC, Canada",19,-123.1357989,49.2655754
"3100 Montcalm St, Vancouver, BC, Canada",15,-123.1300994,49.2572774
"4400 Sophia St., Vancouver, BC, Canada",11,-123.0983184,49.2453102
"2500 Glen Dr., Vancouver, BC, Canada",15,-123.0812267,49.2621652
"300 Seymour St., Vancouver, BC, Canada",52,-123.1118804,49.2852834
"800 McLean Dr., Vancouver, BC, Canada",3,-123.0739395,49.2773455
"1200 7th Ave E., Vancouver, BC, Canada",61,-123.0793351,49.2640399
"1300 7th Ave E., Vancouver, BC, Canada",43,-123.0775178,49.26422410000001
"4600 7th Ave W., Vancouver, BC, Canada",7,-123.2118389,49.2662486
"2100 8th Ave W., Vancouver, BC, Canada",81,-123.1531251,49.2645928
"600 Georgia St. E., Vancouver, BC, Canada",70,-123.1173078,49.2819458
"1600 Station St., Vancouver, BC, Canada",7,-123.0980723,49.2707391
"5600 College St., Vancouver, BC, Canada",4,-123.0441657,49.2342
"2000 E. Kent Ave. S., Vancouver, BC, Canada",2,-123.0661501,49.2072169
"1400 Frances St., Vancouver, BC, Canada",78,-123.0754487,49.2792752
"2800 14th Ave E., Vancouver, BC, Canada",16,-123.0466937,49.2570035
"2500 Kingsway, Vancouver, BC, Canada",56,-123.0548027,49.24009210000001
"1400 Parker St., Vancouver, BC, Canada",19,-123.0756546,49.2756441
"500 Slocan St., Vancouver, BC, Canada",13,-123.049322,49.2802123
"6200 Cambie St., Vancouver, BC, Canada",41,-123.1159208,49.22872040000001
"500 32nd Ave W., Vancouver, BC, Canada",1,-123.1189028,49.241979
"2400 Trutch St., Vancouver, BC, Canada",176,-123.1758727,49.2650776
"3300 Columbia St., Vancouver, BC, Canada",30,-123.1022542,49.2816335
"2400 Manitoba St., Vancouver, BC, Canada",143,-123.1065686,49.263537
"5900 Boulevard E., Vancouver, BC, Canada",10,-123.1207375,49.2827291
"1400 Lillooet St., Vancouver, BC, Canada",49,-123.0388997,49.27228239999999
"4500 Cariboo St., Vancouver, BC, Canada",3,-123.0273914,49.2442092
"1800 37th Ave W., Vancouver, BC, Canada",7,-123.1467784,49.238172
"3000 Kitchener St., Vancouver, BC, Canada",4,-123.041442,49.2722783
"900 Station St., Vancouver, BC, Canada",137,-123.0980538,49.272507
"400 Alexander St., Vancouver, BC, Canada",219,-123.095551,49.2838319
"700 Venables St., Vancouver, BC, Canada",1,-123.081523,49.2762714
"200 17th Ave E., Vancouver, BC, Canada",143,-123.1011881,49.255526
"200 23rd Ave E., Vancouver, BC, Canada",289,-123.0684496,49.3305908
"300 Kingsway, Vancouver, BC, Canada",58,-123.097801,49.2610574
"300 Union St., Vancouver, BC, Canada",187,-123.0968681,49.277404
"400 5th Ave E., Vancouver, BC, Canada",8,-123.1128574,49.2666366
"400 Heatley Ave., Vancouver, BC, Canada",89,-123.0893127,49.2805158
"1800 7th Ave E., Vancouver, BC, Canada",118,-123.0677902,49.263963
"200 14th Ave E., Vancouver, BC, Canada",60,-123.1097177,49.2584481
"300 Powell St., Vancouver, BC, Canada",285,-123.0974085,49.282881
"3800 Penticton St., Vancouver, BC, Canada",43,-123.052242,49.25069
"900 Union St., Vancouver, BC, Canada",1,-123.0847722,49.2772794
"600 24th Ave E., Vancouver, BC, Canada",42,-123.1183864,49.25005890000001
"700 Pacific Blvd., Vancouver, BC, Canada",121,-123.1085528,49.2769513
"2900 Grant St., Vancouver, BC, Canada",16,-123.0439691,49.2712146
"800 28th Ave W., Vancouver, BC, Canada",75,-123.1237691,49.24621759999999
"1300 Hastings St. W., Vancouver, BC, Canada",351,-123.1252365,49.2895364
"2000 Kingsway, Vancouver, BC, Canada",69,-123.0653728,49.2450779
"200 Commercial Dr., Vancouver, BC, Canada",24,-123.0703669,49.2830933
"300 13th Ave W., Vancouver, BC, Canada",58,-123.1111912,49.2591689
"300 50th Ave E., Vancouver, BC, Canada",10,-123.0995072,49.2244488
"700 McLean Dr., Vancouver, BC, Canada",19,-123.0739397,49.2773455
"7000 Prince Edward St., Vancouver, BC, Canada",1,-123.0976706,49.2209649
"5800 Granville St., Vancouver, BC, Canada",4,-123.1391907,49.2333547
"700 26th Ave E., Vancouver, BC, Canada",44,-123.0721468,49.2478351
"600 Main St., Vancouver, BC, Canada",132,-123.0997373,49.2794823
"2100 Bayswater St., Vancouver, BC, Canada",4,-123.1711111,49.2675354
"1800 Trafalgar St., Vancouver, BC, Canada",22,-123.1641746,49.2698694
"400 53rd Ave E., Vancouver, BC, Canada",73,-123.0976068,49.221851
"1800 36th Ave E., Vancouver, BC, Canada",11,-123.0684218,49.2373014
"3100 Carolina St., Vancouver, BC, Canada",26,-123.0916754,49.2562462
"800 Pender St. W., Vancouver, BC, Canada",73,-123.1164446,49.28526189999999
"3700 Carolina St., Vancouver, BC, Canada",3,-123.0920269,49.2515779
"5200 Aberdeen St., Vancouver, BC, Canada",9,-123.0268963,49.2373768
"2300 Harrison Dr., Vancouver, BC, Canada",4,-123.059839,49.20843499999999
"2100 Fir St., Vancouver, BC, Canada",27,-123.1409034,49.2668975
"2700 39th Ave W., Vancouver, BC, Canada",3,-123.1654408,49.23638800000001
"4700 Dunbar St., Vancouver, BC, Canada",5,-123.184887,49.2441231
"3700 28th Ave W., Vancouver, BC, Canada",5,-123.186739,49.24712
"1100 11th Ave W., Vancouver, BC, Canada",89,-123.1290391,49.2615699
"1600 41st Ave W., Vancouver, BC, Canada",3,-123.141483,49.2341823
"1100 Nicola St., Vancouver, BC, Canada",25,-123.1358913,49.2855218
"1200 Lamey's Mill Rd., Vancouver, BC, Canada",19,-123.1330377,49.266918
"3400 Fraser St., Vancouver, BC, Canada",42,-123.0899302,49.254579
"1600 Kingsway, Vancouver, BC, Canada",15,-123.0712999,49.2479981
"1600 14th Ave E., Vancouver, BC, Canada",19,-123.0736948,49.257787
"3200 3rd Ave W., Vancouver, BC, Canada",16,-123.1759193,49.26920510000001
"300 Garden Dr., Vancouver, BC, Canada",201,-123.0578206,49.2820439
"2100 McLean Dr., Vancouver, BC, Canada",8,-123.075181,49.2657604
"3300 Victoria Dr., Vancouver, BC, Canada",20,-123.0660147,49.2568665
"2400 Kingsway, Vancouver, BC, Canada",34,-123.0560681,49.24042799999999
"8700 Yukon St., Vancouver, BC, Canada",30,-123.11529,49.206435
"3600 28th Ave W., Vancouver, BC, Canada",29,-123.185222,49.247117
"3400 Broadway St. W., Vancouver, BC, Canada",18,-123.1798446,49.2642758
"4500 Reid St., Vancouver, BC, Canada",2,-123.0355173,49.2442565
